make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
SKODA,Scala,18900,Gasolina,2021,14200,110,5,Automática,True,Cantabria,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-dsg--81kw-en-cantabria.htm?id=6918161
NISSAN,Qashqai,17900,Diesel,2019,85000,115,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-85kw-en-madrid.htm?id=6873984
HYUNDAI,Tucson,27900,Diesel,2019,57000,136,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-48v-nline-x-4x2-dt-en-madrid.htm?id=6407987
MAZDA,Mazda6,14900,Diesel,2014,78000,150,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda6-w-22de-style-en-madrid.htm?id=6873976
SEAT,León,14900,Gasolina,2018,53500,115,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-10-ecotsi-s_s-reference-115-en-madrid.htm?id=6873944
TOYOTA,Auris,15490,Híbrido,2018,17700,136,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-hybrid-140h-feel-edition-en-madrid.htm?id=6873952
HYUNDAI,Ioniq,17900,Híbrido,2018,80900,141,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ioniq-hev-16-gdi-tecno-en-madrid.htm?id=6873950
HYUNDAI,Santa,43490,Diesel,2021,18500,202,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-tecno-7pl-2wd-8dct-en-madrid.htm?id=6874038
AUDI,A1,19990,Gasolina,2020,19500,95,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-madrid.htm?id=6873994
HYUNDAI,Tucson,42490,Híbrido,2021,3200,265,5,Automática,True,Madrid,https://www.coches.com/km0/seminuevo-hyundai-tucson-16-tgdi-phev-tecno-sky-at-en-madrid.htm?id=6874128
HYUNDAI,Ioniq,17490,Híbrido,2018,67800,141,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ioniq-hev-16-gdi-tecno-en-madrid.htm?id=6874032
BMW,Serie 4,31900,Gasolina,2018,38000,184,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-420ia-gran-coupe-en-madrid.htm?id=6874024
HYUNDAI,Kona,13990,Gasolina,2018,40000,120,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-madrid.htm?id=6873990
HYUNDAI,Tucson,27490,Diesel,2019,63337,136,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-48v-nline-4x2-en-madrid.htm?id=6874146
HYUNDAI,Tucson,32490,Híbrido,2021,22560,230,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16-tgdi-hev-maxx-at-en-madrid.htm?id=6874136
